id              name
74              SQLSERVER configuration & administration
75              SQLSERVER Stored Procs
667             SSAS (Analysis Services) / OLAP
668             SSIS packages
102             Compiere ERP
103             Cream
17767664        Dynamics CRM
17767665        Dynamics ERP (Ax, Solomon, Gp, Nav)
104             ERP5
105             Hipergate
106             OhioEdge CRM Server
107             OpenBravo
108             OpenCRX
109             OpenTaps
110             People Soft
689             Remedy
111             SAP
7829211         SAP XL reporter
112             Siebel
7829189         Solace
669             SplendidCRM
113             Stradivarius
114             Tango
7984273         gSon
670             SQL Enterprise Manager (SQL 6.5, 7.0, 2000)
673             .NET Remoting
2608225         ACE/TAO Corba
674             COM+ / DCOM
675             MSMQ (Message Queue)
671             SQL Query Analyzer (SQL 6.5, 7.0, 2000)
676             Win 32 Services
2608227         JavaMail
2608228         Subethamail
214             AIX configuration & administration
215             Linux configuration & administration
216             Mac OS
217             Solaris configuration & administration
218             Unix
677             Windows 2000
219             Windows 2003 server
678             Windows Vista
220             Windows XP
7223800         Apache Zookeeper
7223801         Cassandra
691             Citrix
221             Computer Simulation
7223795         Forever
222             Game Programming
223             Geographical Information Systems (GIS)
224             Graphic programming (2D, 3D, etc)
7829193         JMX
225             Microsoft Office
226             MySQL Front
7829197         Quartz
227             SOA
228             System Architecture Design (complex enterprise Applications)
229             UML
690             Vignette
17767666        Dynamics RMS
235             Actions Script
236             Ajax
679             ASP.NET AJAX
2667394         ASP.NET MVC
7223808         ASP.NET MVC3
237             CSS
4434915         CSS3
238             Div Layout
239             Dojo
240             DWR
7223789         Ext Js
241             Flex
2307641         FreeMarker
242             Google Web Toolkit (GWT)
243             HTML
4434914         HTML5
246             JavaScript
247             JAXX
248             jQuery
244             JSF
774             JSON
245             JSP
249             OpenLaszlo
250             OpenRico
251             Prototype
252             Script.aculo.us
253             Servlets
776             Smarty
254             SwiXml
255             Thinlet
7223802         Vaadin
2608226         Velocity
256             Wazaabi
257             WidgetServer
773             XAJAX
258             XAMJ
259             XML
260             XUI
261             Yahoo! UI Library (YUI)
775             YAML
262             ZK
680             Crystal Reports
2307658         iReport
2307659         Jasper Reports
672             SQL Server Management Studio (SQL 2005)
681             SSRS (Reporting Services)
682             .NET managed code security
683             ASP.NET security
7829213         CyberArk
684             IE - Client certificates
685             IIS - SSL server certificates
355             ArgoUML
356             Enterprise Architect
357             Fujaba
358             StarUML
359             Unimod
4434930         Apache 2.x+Mods
360             Apache Server Configuration
686             IIS
361             Tomcat
4434931         Tomcat 5.5.x
373             ButorWiki
2328641         Confluence
374             JAMWiki
375             JSPWiki
376             MediaWiki
377             MoinMoin
378             PHPWiki
379             PmWiki
380             Twiki
381             VQWiki
382             Xwiki
11894833        Customer Experience Maps
11894834        Flows
11894832        Task Models
11894824        Ideation
11894828        Presentations
11894827        Prototypes
11894825        Sketching
11894826        Wireframes
11894819        Benchmarking
11894820        Ethnographic Interviews
11894822        Personas
11894821        Quantitative Information Analysis
11894818        Requirements Workshops
11894817        Stakeholder Interviews
11894823        User Journeys
11894831        Expert Reviews
11894830        Surveys
11894829        Usability Testing
405             Availability to travel
6346630         Call Center
6302366         Construction
6346608         Finance
450             Asset Management
452             Retail
6394033         Checkout
6394057         In-Store Marketing (POP displays, Brand Awareness)
6394015         Inventory Management & Fulfillment
6394037         Payment Gateways
6394036         Physical POS
6394039         Promotions system
6394041         Retail BI
6394040         Skew (Master Data Management)
6394052         Store Planning
6394007         Virtual Store
453             Wholesale
6294553         Compliance
451             Insurance
457             Commodities
458             Emerging Markets
455             Fixed income
6294373         Futures
459             Futures & Options
462             Hedge Funds
6294416         Quant
456             Risk Management
6294403         Securities
460             Securitized products
454             Stock - trading platforms
461             Structured products
466             Cards
465             Clearing
463             Payment solutions
464             Trade solutions
6346619         Gaming
9710242         Justice
4206887         Health Care
493             API development
7189969         Big Data
498             .NET Compact Framework
497             J2ME
495             Operating systems development
491             Search Engine Optimization (SEO)
492             Software frameworks development
496             UI Engineering
6346626         IT
470             Broadband
469             Digital TV - audio/video streaming
3742946         Game Development
6388868         Analytics
6388750         Console
6388764         Mobile
6388865         Online Platform
6388752         PC
6388738         Social
6388766         Web
471             IPTV
468             Online Marketing
467             Portal development
472             Print Media/ publishing
6346661         Petroleum
6346589         Retail
485             Billing
484             Call Management
482             PBX/server technology development
483             Telemarketing solutions
488             Cable/modem
490             Quality of Service
489             Wireless
7216362         Plataforma SMS
487             Audio
486             Video
477             Cars
481             Availability
480             Schedules
474             Connectivity/Integration
473             Development
475             Testing
479             General connectivity with third party travel suppliers
478             Hotels
476             Portals - CMS
